"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Kennard Backman","TE","120.6","11.72","4.71","212","32.2","6.37","2015","9.99","35.5","75","258","","2022"
"Kenny Yeboah","TE","117.5","","4.8","211","30.4","","2021","","34","76","250","","2022"
"Kevin Rader","TE","115.5","11.53","4.97","142","30.4","","2018","9.9","34","76","250","","2022"
"Khari Lee","TE","120.5","12.04","5.08","173","28.6","","2015","9.84","36","76","235","","2022"
"Ko Kieft","TE","111.5","11.6","5.03","171","31.5","6.41","2022","9.8","32","76","259","","2022"
"Kyle Carter","TE","123.1","11.46","4.69","87","31","","2016","10.09","35.5","75","248","","2022"
"Kyle Pitts","TE","123.1","11.47","4.49","241","28.3","1.04","2021","10.19","33.5","78","245","","2022"
"Kyle Rudolph","TE","116.9","11.61","4.88","115","29.8","2.11","2011","10.07","34.5","78","258","","2022"
"Kylen Granson","TE","123.9","11.33","4.69","215","31.8","4.22","2021","10.05","36.5","73","241","","2022"
"Lawrence Cager","TE","","","4.6","264","26.1","","2020","","","77","220","68","2022"
"Lee Smith","TE","104.8","11.41","5.01","137","30.7","5.28","2011","9.9","29","78","266","","2022"
"Logan Thomas","TE","121.1","11.23","4.61","0","28.7","4.2","2014","10.32","35.5","78","248","","2022"
"Lucas Krull","TE","121.3","11.53","4.69","116","29.2","","2022","10.16","35","78","253","","2022"
"Luke Farrell","TE","122.9","11.47","4.87","75","29","5.01","2021","10.15","36.5","78","251","","2022"
"Luke Stocker","TE","115.3","11.43","4.79","142","30","4.07","2011","10.02","33","77","253","","2022"
"Marcedes Lewis","TE","123.8","12.08","4.8","261","31.8","1.28","2006","10.05","37","78","275","","2022"
"Marcus Baugh","TE","116.3","11.79","4.87","105","30.1","","2018","9.85","33","76","247","","2022"
"Mark Andrews","TE","110.8","11.72","4.67","180","30.4","3.22","2018","9.94","31","77","256","","2022"
"Mason Schreck","TE","119.4","11.63","4.81","317","30.8","7.33","2017","10","34.5","76","253","","2022"
"Matt Bushman","TE","","11.66","4.77","215","29","","2021","9.92","32.5","77","245","","2022"
"Matt Flanagan","TE","113.1","11.59","4.82","69","30.8","","2018","9.91","31.5","77","260","","2022"
"Matt LaCosse","TE","110.5","11.87","4.76","98","28.9","","2015","9.76","30","78","250","","2022"
"Matt Lengel","TE","114.5","11.59","4.96","70","30.4","","2015","9.99","32","79","270","","2022"
"Matt Sokol","TE","109.4","11.69","4.92","62","30","","2019","9.82","30.5","77","253","","2022"
"Maxx Williams","TE","118.9","11.67","4.78","488","30.3","2.23","2015","10","34.5","76","249","","2022"
"Michael Roberts","TE","107.5","11.56","4.86","237","32.9","4.21","2017","9.81","30","76","270","","2022"
"Mike Gesicki","TE","137.1","10.86","4.54","215","28.5","2.1","2018","10.65","41.5","78","247","","2022"
"Mike McFarland","TE","119.3","11.55","4.85","141","29.9","","2015","10.12","35","77","252","","2022"
"Miller Forristall","TE","120.3","11.51","4.86","74","28.6","","2021","10.03","35","77","241","","2022"
"Mitchell Henry","TE","121.8","11.43","4.74","91","29.8","","2015","10.12","37","76","245","","2022"
"Mitchell Wilcox","TE","110.3","11.8","4.88","245","30.1","","2020","9.76","31","76","247","","2022"
"Mo Alie-Cox","TE","123.1","11.7","4.8","0","31.9","","2017","10.1","35.5","76","262","","2022"
"Moritz Boehringer","TE","133.8","10.75","4.48","0","27.6","6.05","2016","10.49","39","76","227","","2022"
"MyCole Pruitt","TE","125.5","11.62","4.58","376","32.2","5.07","2015","10.14","38","74","251","","2022"
"Nate Becker","TE","118.3","11.91","5.15","63","30.6","","2019","9.78","35","77","258","","2022"
"Nick Bowers","TE","","","","176","31.6","","2020","","","76","260","","2022"
"Nick Boyle","TE","109.4","11.36","5.04","212","32.6","5.35","2015","9.86","30.5","76","268","","2022"
"Nick Keizer","TE","116.5","11.7","4.82","262","30.5","","2018","9.85","32","76","251","","2022"
"Nick Muse","TE","108.9","11.35","4.76","136","31.4","7.06","2022","9.89","30.5","76","258","","2022"
"Nick Vannett","TE","108.9","11.25","4.94","64","29.7","3.32","2016","10.03","30.5","78","257","","2022"
"Nikole Kalinic","TE","","","","63","31.5","","2019","","","74","245","","2022"
"Noah Fant","TE","132.6","11.03","4.5","270","30.3","1.2","2019","10.45","39.5","76","249","","2022"
"Noah Gray","TE","118.8","11.35","4.67","197","30","5.18","2021","10.02","35","75","240","","2022"
"Noah Togiai","TE","117.1","11.52","4.75","185","29.3","","2020","9.98","33.5","76","241","","2022"
"O.J. Howard","TE","113","11.01","4.51","152","29","1.19","2017","10.21","30","78","251","","2022"
"Parker Hesse","TE","122.3","11.58","4.92","0","32.5","","2019","9.94","37","74","253","","2022"
"Pat Freiermuth","TE","","","4.77","248","29.8","2.23","2021","","","77","251","","2022"
"Peyton Hendershot","TE","115.4","11.16","4.8","383","30.4","","2022","10.03","32.5","76","250","","2022"
"Pharaoh Brown","TE","111","11.7","4.88","189","29.5","","2017","10.08","34","78","255","","2022"
"Phillip Supernaw","TE","111.9","11.7","4.75","232","28.7","","2012","9.92","32.5","77","242","","2022"
"Quintin Morris","TE","119","11.74","4.71","277","31.2","","2021","9.87","34","74","243","","2022"
"Richard Rodgers","TE","113.1","11.7","4.87","105","31.3","3.34","2014","9.81","31.5","76","257","","2022"
"Ricky Seals-Jones","TE","109.5","11.79","4.69","124","28.8","","2017","9.81","28","77","243","","2022"
"Rico Gathers","TE","","","4.84","0","31.5","6.42","2016","","","78","273","","2022"
"Robert Tonyan","TE","123.8","11.46","4.63","380","28","","2017","10.13","35","77","236","","2022"
"Ross Dwelley","TE","","","4.95","296","28.1","","2018","","27.5","77","237","","2022"
"Ryan Griffin","TE","116.9","11.44","4.92","388","28.5","6.33","2013","10.06","34.5","78","247","","2022"
"Ryan Izzo","TE","112.8","11.58","4.94","152","30.4","7.32","2018","9.87","33","77","256","","2022"
"Ryan Malleck","TE","120.9","11.33","4.86","93","30.1","","2016","10.03","34.5","76","247","","2022"
"Sammis Reyes","TE","132.5","","4.7","0","30.8","","2021","","40","77","260","","2022"
"Sean Culkin","TE","122.1","11.66","4.76","75","30.2","","2017","10.05","35.5","77","255","","2022"
"Sean McKeon","TE","","","","197","30.2","","2020","","","75","242","","2022"
"Seth Devalve","TE","132.5","11.14","4.73","183","31.3","4.4","2016","10.21","40","74","244","","2022"
"Shane Zylstra","TE","","","","0","26.6","","2020","","","75","213","","2022"
"Stephen Anderson","TE","126","11.08","4.65","124","29.5","","2016","10.22","38","74","230","","2022"
"Stephen Carlson","TE","118.4","11.16","4.82","281","29.2","","2019","10.02","32.5","76","240","","2022"
"Stephen Sullivan","TE","125.4","12.13","4.66","92","29.4","7.37","2020","10.07","36.5","77","248","","2022"
"Steven Scheu","TE","115.8","11.49","4.8","189","30.8","","2016","9.96","33","76","253","","2022"
"Stone Smartt","TE","134","11.33","4.67","49","27.5","","2022","10.27","40","76","226","","2022"
"T.J. Hockenson","TE","127.1","11.2","4.7","240","29.8","1.08","2019","10.27","37.5","77","251","","2022"
"Tanner Conner","TE","131.8","11.56","4.55","0","28.2","","2022","10.17","39","75","226","","2022"
"Tanner Hudson","TE","","","4.84","226","28.3","","2018","","","77","239","","2022"
"Taysom Hill","TE","128.4","11.4","4.51","0","28.4","","2017","10.15","38.5","74","221","","2022"
"Teagan Quitoriano","TE","114.3","11.83","4.99","127","29.6","5.27","2022","9.85","32","78","256","","2022"
"Temarrick Hemingway","TE","110.9","11.19","4.71","144","28.9","6.02","2016","10.06","30.5","77","244","","2022"
"Thomas Duarte","TE","117.6","11.21","4.72","334","29.7","7.1","2016","10.03","33.5","74","231","","2022"
"Tommy Stevens","TE","118.4","11.28","4.54","32","28.8","7.26","2020","10.16","34.5","76","237","","2022"
"Tommy Sweeney","TE","113.5","11.48","4.83","196","30.5","7.14","2019","9.93","32","76","251","","2022"
"Tommy Tremble","TE","124.9","","4.7","82","30.1","3.19","2021","","36.5","75","241","","2022"
"Tony Poljan","TE","115.1","11.84","4.94","215","28.3","","2021","9.96","33.5","79","251","","2022"
"Travis Kelce","TE","123.3","11.51","4.66","276","30.8","3.01","2013","10.14","35","77","260","","2022"
"Tre McKitty","TE","112","11.72","4.76","113","29.6","3.33","2021","9.82","30","76","243","","2022"
"Trevon Wesco","TE","112.8","11.56","4.89","57","33.4","4.19","2019","9.88","31","75","267","","2022"
"Trey McBride","TE","116.3","","4.61","463","29.8","2.23","2022","","33","76","245","","2022"
"Troy Fumagalli","TE","","","4.94","199","29.3","5.19","2018","","","77","247","","2022"
"Tyler Conklin","TE","126.5","11.36","4.8","241","31.7","5.2","2018","10.17","38","75","254","","2022"
"Tyler Davis","TE","112.4","11.62","4.76","147","30.7","6.27","2020","9.91","32.5","76","252","","2022"
"Tyler Higbee","TE","","","4.67","156","28.8","4.12","2016","","","78","249","","2022"
"Tyler Kroft","TE","119.5","11.68","4.8","115","29.2","3.21","2015","9.97","34","77","246","","2022"
"Tyree Jackson","TE","120.4","11.37","4.59","0","28","","2019","10.28","34.5","79","249","","2022"
"Tyrone Swoopes","TE","118.8","11.28","4.73","0","30.1","","2017","10.12","35","76","247","","2022"
"Virgil Green","TE","139.4","11.3","4.64","195","31.1","7.01","2011","10.38","42.5","75","249","","2022"
"Will Dissly","TE","104.5","11.47","4.87","103","31.9","4.2","2018","9.74","28","76","262","","2022"
"Zach Ertz","TE","119.1","11.55","4.76","318","29.5","2.03","2013","10.03","35.5","77","249","","2022"
"Zach Gentry","TE","106.6","11.93","4.9","156","29.1","5.03","2019","9.86","29.5","80","265","","2022"
